block n60 sum_rr60 hold drowsy
755 48 14284 0 0
756 48 14333 0 0
757 48 14362 0 0
758 48 14338 0 0
759 48 14396 0 0
760 48 14413 0 0
761 47 14141 0 0
762 47 14198 0 0
763 47 14174 0 0
764 47 14141 0 0
765 48 14476 0 0
766 48 14431 0 0
767 48 14422 0 0
768 48 14414 0 0
769 48 14354 0 0
770 49 14652 0 0
771 49 14638 0 0
772 49 14562 0 0
773 49 14534 0 0
774 49 14477 0 0
775 49 14410 0 0
776 49 14466 0 0
777 49 14410 0 0
778 49 14402 0 0
779 49 14434 0 0
780 49 14481 0 0
781 49 14522 0 0
782 48 14297 0 0
783 48 14293 0 0
784 48 14340 0 0
785 48 14432 0 0
786 48 14466 0 0
787 48 14528 0 0
788 48 14497 0 0
789 45 13637 0 0
790 44 13478 0 0
791 44 13662 0 0
792 42 13137 0 0
793 42 13149 0 0
794 42 13085 0 0
795 38 11908 0 0
796 38 11929 0 0
797 35 11001 0 0
798 32 10182 0 0
799 31 9999 0 0
800 28 9140 1 0
801 27 8782 1 0
802 24 7735 1 0
803 20 6352 1 0
804 22 6958 1 0
805 22 6878 1 0
806 21 6681 1 0
807 23 7315 1 0
808 23 7218 1 0
809 27 8307 1 0
810 30 9144 0 0
811 31 9343 0 0
812 34 10179 0 0
813 38 11361 0 0
814 42 12560 0 0
815 45 13491 0 0
816 45 13504 0 0
817 45 13594 0 0
818 46 13843 0 0
819 48 14429 0 0
820 48 14535 0 0
821 44 13398 0 0
822 41 12543 0 0
823 39 11932 0 0
824 39 11873 0 0
825 36 11004 0 0
826 35 10757 0 0
827 36 10987 0 0
828 36 10843 0 0
829 34 10245 0 0
830 31 9379 0 0
831 30 9140 0 0
832 30 9143 0 0
833 29 8871 1 0
834 29 8887 1 0
835 30 9349 0 0
836 29 9281 1 0
837 31 10020 0 0
838 29 9421 1 0
839 27 8966 1 0
840 25 8485 1 0
841 27 9262 1 0
842 30 10033 0 0
843 32 10454 0 0
844 32 10372 0 0
845 36 11554 0 0
846 39 12433 0 0
847 40 12565 0 0
848 41 12703 0 0
849 41 12479 0 0
850 44 13359 0 0
851 46 13846 0 0
852 48 14332 0 0
853 48 14084 0 0
854 48 14185 0 0
855 47 13992 0 0
856 46 13793 0 0
857 42 12611 0 0
858 39 11726 0 0
859 35 10529 0 0
860 31 9322 0 0
861 30 9188 0 0
862 30 9186 0 0
863 27 8348 1 0
864 25 7857 1 0
865 25 7882 1 0
866 26 8108 1 0
867 24 7544 1 0
868 23 7288 1 0
869 27 8499 1 0
870 29 9110 1 0
871 31 9821 0 0
872 34 10848 0 0
873 34 10871 0 0
874 30 9640 0 0
875 29 9285 1 0
876 28 8935 1 0
877 26 8481 1 0
878 21 7025 1 0
879 19 6380 1 0
880 19 6382 1 0
881 19 6374 1 0
882 17 5721 1 0
883 16 5367 1 0
884 17 5573 1 0
885 16 5188 1 0
886 16 5188 1 0
887 17 5541 1 0
888 19 6230 1 0
889 21 6811 1 0
890 25 8042 1 0
891 29 9300 1 0
892 31 9755 0 0
893 31 9730 0 0
894 34 10685 0 0
895 35 10957 0 0
896 31 9724 0 0
897 34 10816 0 0
898 37 11854 0 0
899 40 12885 0 0
900 41 13022 0 0
901 41 12907 0 0
902 41 12841 0 0
903 41 12735 0 0
904 42 12973 0 0
905 42 12929 0 0
906 42 12762 0 0
907 44 13283 0 0
908 45 13597 0 0
909 45 13405 0 0
910 46 13533 0 0
911 46 13301 0 0
912 46 13300 0 0
913 47 13564 0 0
914 47 13551 0 0
915 47 13561 0 0
916 46 13337 0 0
917 46 13325 0 0
918 46 13415 0 0
919 46 13468 0 0
920 49 14345 0 0
921 49 14329 0 0
922 49 14392 0 0
923 49 14526 0 0
924 49 14584 0 0
925 48 14341 0 0
926 48 14408 0 0
927 48 14419 0 0
928 48 14477 0 0
929 48 14555 0 0
930 48 14579 0 0
931 48 14494 0 0
932 48 14516 0 0
933 48 14553 0 0
934 48 14558 0 0
935 48 14505 0 0
936 47 14229 0 0
937 47 14250 0 0
938 47 14188 0 0
939 48 14456 0 0
940 48 14394 0 0
941 48 14271 0 0
942 48 14171 0 0
943 49 14494 0 0
944 49 14435 0 0
945 49 14352 0 0
946 49 14300 0 0
947 49 14284 0 0
948 50 14492 0 0
949 50 14421 0 0
950 50 14406 0 0
951 49 14159 0 0
952 49 14192 0 0
953 49 14294 0 0
954 49 14418 0 0
955 49 14443 0 0
956 49 14463 0 0
957 49 14473 0 0
958 48 14234 0 0
959 48 14251 0 0
960 49 14553 0 0
961 49 14601 0 0
962 49 14620 0 0
963 46 13765 0 0
964 46 13798 0 0
965 46 13799 0 0
966 46 13787 0 0
967 45 13505 0 0
968 45 13530 0 0
969 45 13571 0 0
970 46 13876 0 0
971 46 13836 0 0
972 45 13589 0 0
973 45 13570 0 0
974 45 13553 0 0
975 48 14350 0 0
976 48 14288 0 0
977 48 14254 0 0
978 49 14504 0 0
979 48 14229 0 0
980 48 14255 0 0
981 48 14246 0 0
982 48 14215 0 0
983 48 14166 0 0
984 48 14132 0 0
985 49 14445 0 0
986 49 14467 0 0
987 49 14491 0 0
988 48 14187 0 0
989 44 13041 0 0
990 43 12775 0 0
991 44 13089 0 0
992 44 13048 0 0
993 44 13010 0 0
994 44 13001 0 0
995 44 13107 0 0
996 44 13106 0 0
997 43 12788 0 0
998 43 12762 0 0
999 43 12787 0 0
1000 44 13084 0 0
1001 49 14507 0 0
1002 49 14364 0 0
1003 49 14286 0 0
1004 49 14272 0 0
1005 49 14286 0 0
1006 49 14315 0 0
1007 49 14264 0 0
1008 49 14318 0 0
1009 49 14326 0 0
1010 49 14366 0 0
1011 49 14362 0 0
1012 49 14370 0 0
1013 48 14110 0 0
1014 48 14253 0 0
1015 49 14595 0 0
1016 48 14320 0 0
1017 48 14345 0 0
1018 49 14600 0 0
1019 49 14560 0 0
1020 49 14495 0 0
1021 49 14473 0 0
1022 49 14466 0 0
1023 49 14498 0 0
1024 49 14480 0 0
1025 49 14457 0 0
1026 49 14446 0 0
1027 48 14255 0 0
1028 49 14575 0 0
1029 49 14523 0 0
1030 48 14230 0 0
1031 48 14259 0 0
1032 48 14258 0 0
1033 46 13690 0 0
1034 42 12517 0 0
1035 39 11655 0 0
1036 35 10509 0 0
1037 35 10617 0 0
1038 35 10552 0 0
1039 35 10430 0 0
1040 36 10631 0 0
1041 36 10560 0 0
1042 36 10517 0 0
1043 36 10498 0 0
1044 36 10516 0 0
1045 38 11122 0 0
1046 42 12287 0 0
1047 46 13365 0 0
1048 50 14540 0 0
1049 50 14437 0 0
1050 50 14481 0 0
1051 50 14537 0 0
1052 49 14317 0 0
1053 49 14424 0 0
1054 49 14431 0 0
1055 49 14478 0 0
1056 49 14436 0 0
1057 49 14354 0 0
1058 49 14363 0 0
1059 49 14397 0 0
1060 48 14184 0 0
1061 47 14025 0 0
1062 47 14034 0 0
1063 44 13160 0 0
1064 43 13018 0 0
1065 40 12170 0 0
1066 36 11007 0 0
1067 33 10150 0 0
1068 29 9001 1 0
1069 25 7885 1 0
1070 21 6711 1 0
1071 16 5248 1 0
1072 13 4286 1 0
1073 12 4008 1 0
1074 12 4232 1 0
1075 11 3876 1 0
1076 11 3860 1 0
1077 13 4568 1 0
1078 15 5284 1 0
1079 17 5974 1 0
1080 19 6684 1 0
1081 22 7741 1 0
1082 24 8447 1 0
1083 28 9603 1 0
1084 32 10731 0 1
1085 34 11175 0 0
1086 35 11173 0 0
1087 39 12322 0 0
1088 40 12460 0 0
1089 39 12013 0 0
1090 37 11297 0 0
1091 35 10607 0 0
1092 35 10590 0 0
1093 36 10903 0 0
1094 35 10548 0 0
1095 31 9392 0 0
1096 28 8624 1 0
1097 24 7472 1 0
1098 20 6429 1 0
1099 18 5975 1 0
1100 14 4799 1 0
1101 16 5568 1 0
1102 20 6733 1 0
