block n60 sum_rr60 bad60 hold drowsy alert
360 71 14425 0 0 0 0
361 72 14458 0 0 0 0
362 72 14432 0 0 0 0
363 72 14307 0 0 0 0
364 72 14391 0 0 0 0
365 72 14322 0 0 0 0
366 73 14402 0 0 0 0
367 74 14474 0 0 0 0
368 74 14434 0 0 0 0
369 74 14424 0 0 0 0
370 74 14451 0 0 0 0
371 74 14493 0 0 0 0
372 73 14361 0 0 0 0
373 72 14259 0 0 0 0
374 72 14307 0 0 0 0
375 72 14436 0 0 0 0
376 72 14397 0 0 0 0
377 72 14479 0 0 0 0
378 71 14370 0 0 0 0
379 71 14354 0 0 0 0
380 71 14431 0 0 0 0
381 71 14446 0 0 0 0
382 71 14474 0 0 0 0
383 70 14298 0 0 0 0
384 71 14512 0 0 0 0
385 70 14370 0 0 0 0
386 70 14405 0 0 0 0
387 70 14497 0 0 0 0
388 69 14327 0 0 0 0
389 69 14427 0 0 0 0
390 68 14315 0 0 0 0
391 68 14455 0 0 0 0
392 68 14492 0 0 0 0
393 67 14305 0 0 0 0
394 67 14396 0 0 0 0
395 67 14399 0 0 0 0
396 66 14265 0 0 0 0
397 67 14537 0 0 0 0
398 66 14401 0 0 0 0
399 66 14405 0 0 0 0
400 67 14585 0 0 0 0
401 66 14283 0 0 0 0
402 67 14405 0 0 0 0
403 67 14387 0 0 0 0
404 67 14361 0 0 0 0
405 68 14520 0 0 0 0
406 67 14219 0 0 0 0
407 68 14361 0 0 0 0
408 69 14530 0 0 0 0
409 68 14242 0 0 0 0
410 69 14425 0 0 0 0
411 69 14342 0 0 0 0
412 69 14315 0 0 0 0
413 70 14580 0 0 0 0
414 69 14403 0 0 0 0
415 69 14469 0 0 0 0
416 68 14254 0 0 0 0
417 68 14307 0 0 0 0
418 69 14515 0 0 0 0
419 69 14517 0 0 0 0
420 69 14395 0 0 0 0
421 70 14460 0 0 0 0
422 71 14496 0 0 0 0
423 71 14423 0 0 0 0
424 71 14390 0 0 0 0
425 71 14308 0 0 0 0
426 72 14489 0 0 0 0
427 72 14398 0 0 0 0
428 73 14535 0 0 0 0
429 73 14383 0 0 0 0
430 73 14304 0 0 0 0
431 73 14346 0 0 0 0
432 73 14462 0 0 0 0
433 72 14414 0 0 0 0
434 71 14269 0 0 0 0
435 71 14315 0 0 0 0
436 72 14497 0 0 0 0
437 72 14460 0 0 0 0
438 72 14402 0 0 0 0
439 72 14330 0 0 0 0
440 73 14376 0 0 0 0
441 73 14533 0 0 0 0
442 72 14395 0 0 0 0
443 72 14414 0 0 0 0
444 71 14258 0 0 0 0
445 72 14408 0 0 0 0
446 72 14529 0 0 0 0
447 71 14376 0 0 0 0
448 70 14283 0 0 0 0
449 70 14312 0 0 0 0
450 70 14344 0 0 0 0
451 70 14411 0 0 0 0
452 69 14332 0 0 0 0
453 69 14276 0 0 0 0
454 70 14424 0 0 0 0
455 70 14305 0 0 0 0
456 71 14375 0 0 0 0
457 71 14358 0 0 0 0
458 71 14252 0 0 0 0
459 72 14490 0 0 0 0
